model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost
dummy_prior,median_all,0.32,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.33,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.34,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.35,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.36,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.37,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.38,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.39,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.4,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.41,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.42,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.43,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.44,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.45,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.46,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.47,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.48,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.49,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.5,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.51,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.52,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.53,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.54,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.55,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.56,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.57,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.58,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.59,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.6,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.61,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.62,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.63,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.64,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.65,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.66,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.67,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.68,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.69,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.7,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.71,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.72,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.73,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.74,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.75,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.76,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.77,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.78,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.79,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.8,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.81,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.82,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.83,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.84,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.85,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
