threshold,predicted_positive_count,predicted_negative_count,tp,fp,tn,fn,precision_score,recall_score,f1_score,f2_score,fp_cost,fn_cost,total_cost,workload_rate
0.83,387,15613,313,74,15551,62,0.8087855297157622,0.8346666666666667,0.821522309711286,0.829358770535241,10,500,31740,0.0241875
0.84,380,15620,313,67,15558,62,0.8236842105263158,0.8346666666666667,0.8291390728476822,0.8324468085106383,10,500,31670,0.02375
0.85,375,15625,312,63,15562,63,0.832,0.832,0.832,0.832,10,500,32130,0.0234375
0.86,370,15630,311,59,15566,64,0.8405405405405405,0.8293333333333334,0.8348993288590604,0.8315508021390375,10,500,32590,0.023125
0.87,368,15632,311,57,15568,64,0.845108695652174,0.8293333333333334,0.8371467025572006,0.8324411134903642,10,500,32570,0.023
0.88,364,15636,310,54,15571,65,0.8516483516483516,0.8266666666666667,0.8389715832205682,0.8315450643776824,10,500,33040,0.02275
0.89,357,15643,305,52,15573,70,0.8543417366946778,0.8133333333333334,0.8333333333333333,0.8212170166935919,10,500,35520,0.0223125
0.9,349,15651,302,47,15578,73,0.8653295128939829,0.8053333333333333,0.8342541436464088,0.8166576527852892,10,500,36970,0.0218125
0.91,343,15657,299,44,15581,76,0.8717201166180758,0.7973333333333333,0.8328690807799443,0.8111774281063484,10,500,38440,0.0214375
0.92,335,15665,295,40,15585,80,0.8805970149253731,0.7866666666666666,0.8309859154929576,0.8038147138964578,10,500,40400,0.0209375
0.93,328,15672,291,37,15588,84,0.8871951219512195,0.776,0.8278805120910384,0.7959518599562363,10,500,42370,0.0205
0.94,320,15680,285,35,15590,90,0.890625,0.76,0.8201438848920863,0.782967032967033,10,500,45350,0.02
0.95,309,15691,279,30,15595,96,0.9029126213592233,0.744,0.8157894736842106,0.7711442786069652,10,500,48300,0.0193125
0.96,291,15709,266,25,15600,109,0.9140893470790378,0.7093333333333334,0.7987987987987989,0.7426018983807929,10,500,54750,0.0181875
0.97,264,15736,246,18,15607,129,0.9318181818181818,0.656,0.7699530516431925,0.697278911564626,10,500,64680,0.0165
0.98,229,15771,221,8,15617,154,0.9650655021834061,0.5893333333333334,0.7317880794701987,0.6390977443609023,10,500,77080,0.0143125
0.99,176,15824,171,5,15620,204,0.9715909090909091,0.456,0.6206896551724137,0.5101431980906921,10,500,102050,0.011
